drug1, drug2, mechanism, action, property, description
Acetaminophen,Methylphenobarbital,increase,2/1,M,The metabolism of Acetaminophen can be increased when combined with Methylphenobarbital
Acetylsalicylicacid,Aprepitant,increase,2/1,M,The metabolism of Acetylsalicylicacid can be increased when combined with Aprepitant
Acetylsalicylicacid,Carbamazepine,increase,2/1,M,The metabolism of Acetylsalicylicacid can be increased when combined with Carbamazepine
Acetylsalicylicacid,Carisoprodol,increase,2/1,M,The serum concentration of the active metabolites of Acetylsalicylicacid can be increased when Carisoprodol is used in combination with Acetylsalicylicacid
Albendazole,Fosphenytoin,increase,2/1,M,The metabolism of Albendazole can be increased when combined with Fosphenytoin
Albendazole,Lumacaftor,increase,2/1,M,The metabolism of Albendazole can be increased when combined with Lumacaftor
Alclometasone,Carbamazepine,increase,2/1,M,The metabolism of Alclometasone can be increased when combined with Carbamazepine
Alclometasone,Fosphenytoin,increase,2/1,M,The metabolism of Alclometasone can be increased when combined with Fosphenytoin
Alclometasone,Lumacaftor,increase,2/1,M,The metabolism of Alclometasone can be increased when combined with Lumacaftor
Alfentanil,Carbamazepine,increase,2/1,M,The metabolism of Alfentanil can be increased when combined with Carbamazepine
Alfentanil,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Alfentanil can be increased when Dabigatranetexilate is used in combination with Alfentanil
Allylestrenol,Carbamazepine,increase,2/1,M,The metabolism of Allylestrenol can be increased when combined with Carbamazepine
Allylestrenol,Fosphenytoin,increase,2/1,M,The metabolism of Allylestrenol can be increased when combined with Fosphenytoin
Allylestrenol,Lumacaftor,increase,2/1,M,The metabolism of Allylestrenol can be increased when combined with Lumacaftor
Almotriptan,Carbamazepine,increase,2/1,M,The metabolism of Almotriptan can be increased when combined with Carbamazepine
Almotriptan,Fosphenytoin,increase,2/1,M,The metabolism of Almotriptan can be increased when combined with Fosphenytoin
Alogliptin,Carbamazepine,increase,2/1,M,The metabolism of Alogliptin can be increased when combined with Carbamazepine
Alogliptin,Fosphenytoin,increase,2/1,M,The metabolism of Alogliptin can be increased when combined with Fosphenytoin
Alogliptin,Lumacaftor,increase,2/1,M,The metabolism of Alogliptin can be increased when combined with Lumacaftor
Alosetron,Carbamazepine,increase,2/1,M,The metabolism of Alosetron can be increased when combined with Carbamazepine
Alosetron,Fosphenytoin,increase,2/1,M,The metabolism of Alosetron can be increased when combined with Fosphenytoin
Amantadine,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Amantadine can be increased when Dabigatranetexilate is used in combination with Amantadine
Amiodarone,Iloperidone,increase,2/1,M,The serum concentration of the active metabolites of Amiodarone can be increased when Iloperidone is used in combination with Amiodarone
Amitriptyline,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Amitriptyline can be increased when Fesoterodine is used in combination with Amitriptyline
Amlodipine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Amlodipine can be increased when Fesoterodine is used in combination with Amlodipine
Amodiaquine,Fosphenytoin,increase,2/1,M,The metabolism of Amodiaquine can be increased when combined with Fosphenytoin
Amoxapine,Carbamazepine,increase,2/1,M,The metabolism of Amoxapine can be increased when combined with Carbamazepine
Amoxapine,Hexobarbital,increase,2/1,M,The metabolism of Amoxapine can be increased when combined with Hexobarbital
Amoxapine,Methylphenobarbital,increase,2/1,M,The metabolism of Amoxapine can be increased when combined with Methylphenobarbital
Amphetamine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Amphetamine can be increased when Fesoterodine is used in combination with Amphetamine
Antipyrine,Carbamazepine,increase,2/1,M,The metabolism of Antipyrine can be increased when combined with Carbamazepine
Antipyrine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Antipyrine can be increased when Fesoterodine is used in combination with Antipyrine
Asenapine,Carbamazepine,increase,2/1,M,The metabolism of Asenapine can be increased when combined with Carbamazepine
Asenapine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Asenapine can be increased when Fesoterodine is used in combination with Asenapine
Astemizole,Fosphenytoin,increase,2/1,M,The metabolism of Astemizole can be increased when combined with Fosphenytoin
Astemizole,Lumacaftor,increase,2/1,M,The metabolism of Astemizole can be increased when combined with Lumacaftor
Atomoxetine,Carbamazepine,increase,2/1,M,The metabolism of Atomoxetine can be increased when combined with Carbamazepine
Atomoxetine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Atomoxetine can be increased when Fesoterodine is used in combination with Atomoxetine
Atorvastatin,Bosentan,increase,2/1,M,The metabolism of Atorvastatin can be increased when combined with Bosentan
Atorvastatin,Carbamazepine,increase,2/1,M,The metabolism of Atorvastatin can be increased when combined with Carbamazepine
Atorvastatin,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Atorvastatin can be increased when Dabigatranetexilate is used in combination with Atorvastatin
Avanafil,Carbamazepine,increase,2/1,M,The metabolism of Avanafil can be increased when combined with Carbamazepine
Avanafil,Fosphenytoin,increase,2/1,M,The metabolism of Avanafil can be increased when combined with Fosphenytoin
Avanafil,Lumacaftor,increase,2/1,M,The metabolism of Avanafil can be increased when combined with Lumacaftor
Azelastine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Azelastine can be increased when Fesoterodine is used in combination with Azelastine
Azithromycin,Fosphenytoin,increase,2/1,M,The metabolism of Azithromycin can be increased when combined with Fosphenytoin
Azithromycin,Lumacaftor,increase,2/1,M,The metabolism of Azithromycin can be increased when combined with Lumacaftor
Baricitinib,Carbamazepine,increase,2/1,M,The metabolism of Baricitinib can be increased when combined with Carbamazepine
Baricitinib,Fosphenytoin,increase,2/1,M,The metabolism of Baricitinib can be increased when combined with Fosphenytoin
Benazepril,Carbamazepine,increase,2/1,M,The metabolism of Benazepril can be increased when combined with Carbamazepine
Benidipine,Carbamazepine,increase,2/1,M,The metabolism of Benidipine can be increased when combined with Carbamazepine
Benidipine,Fosphenytoin,increase,2/1,M,The metabolism of Benidipine can be increased when combined with Fosphenytoin
Benidipine,Hexobarbital,increase,2/1,M,The metabolism of Benidipine can be increased when combined with Hexobarbital
Benidipine,Methylphenobarbital,increase,2/1,M,The metabolism of Benidipine can be increased when combined with Methylphenobarbital
Benzatropine,Carbamazepine,increase,2/1,M,The metabolism of Benzatropine can be increased when combined with Carbamazepine
Benzatropine,Fosphenytoin,increase,2/1,M,The metabolism of Benzatropine can be increased when combined with Fosphenytoin
Benzocaine,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Benzocaine can be increased when Dabigatranetexilate is used in combination with Benzocaine
Bepridil,Hexobarbital,increase,2/1,M,The metabolism of Bepridil can be increased when combined with Hexobarbital
Bepridil,Methylphenobarbital,increase,2/1,M,The metabolism of Bepridil can be increased when combined with Methylphenobarbital
Betaxolol,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Betaxolol can be increased when Fesoterodine is used in combination with Betaxolol
Bicalutamide,Fosphenytoin,increase,2/1,M,The metabolism of Bicalutamide can be increased when combined with Fosphenytoin
Bicalutamide,Lumacaftor,increase,2/1,M,The metabolism of Bicalutamide can be increased when combined with Lumacaftor
Biperiden,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Biperiden can be increased when Dabigatranetexilate is used in combination with Biperiden
Bisoprolol,Carbamazepine,increase,2/1,M,The metabolism of Bisoprolol can be increased when combined with Carbamazepine
Bisoprolol,Fosphenytoin,increase,2/1,M,The metabolism of Bisoprolol can be increased when combined with Fosphenytoin
Bisoprolol,Lumacaftor,increase,2/1,M,The metabolism of Bisoprolol can be increased when combined with Lumacaftor
Bivalirudin,Carbamazepine,increase,2/1,M,The metabolism of Bivalirudin can be increased when combined with Carbamazepine
Blonanserin,Carbamazepine,increase,2/1,M,The metabolism of Blonanserin can be increased when combined with Carbamazepine
Blonanserin,Fosphenytoin,increase,2/1,M,The metabolism of Blonanserin can be increased when combined with Fosphenytoin
Blonanserin,Lumacaftor,increase,2/1,M,The metabolism of Blonanserin can be increased when combined with Lumacaftor
Bosentan,Dicoumarol,increase,2/1,M,The metabolism of Bosentan can be increased when combined with Dicoumarol
Bosentan,Fluvastatin,increase,2/1,M,The metabolism of Bosentan can be increased when combined with Fluvastatin
Bosentan,Fosphenytoin,increase,2/1,M,The metabolism of Bosentan can be increased when combined with Fosphenytoin
Bosentan,Lovastatin,increase,2/1,M,The metabolism of Bosentan can be increased when combined with Lovastatin
Bosutinib,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Bosutinib can be increased when Dabigatranetexilate is used in combination with Bosutinib
Bromocriptine,Fosphenytoin,increase,2/1,M,The metabolism of Bromocriptine can be increased when combined with Fosphenytoin
Brompheniramine,Carbamazepine,increase,2/1,M,The metabolism of Brompheniramine can be increased when combined with Carbamazepine
Brompheniramine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Brompheniramine can be increased when Fesoterodine is used in combination with Brompheniramine
Buprenorphine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Buprenorphine can be increased when Fesoterodine is used in combination with Buprenorphine
Bupropion,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Bupropion can be increased when Fesoterodine is used in combination with Bupropion
Bupropion,Iloperidone,increase,2/1,M,The serum concentration of the active metabolites of Bupropion can be increased when Iloperidone is used in combination with Bupropion
Buspirone,Fosphenytoin,increase,2/1,M,The metabolism of Buspirone can be increased when combined with Fosphenytoin
Buspirone,Lumacaftor,increase,2/1,M,The metabolism of Buspirone can be increased when combined with Lumacaftor
Cabazitaxel,Carbamazepine,increase,2/1,M,The metabolism of Cabazitaxel can be increased when combined with Carbamazepine
Cabazitaxel,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Cabazitaxel can be increased when Dabigatranetexilate is used in combination with Cabazitaxel
Caffeine,Fosphenytoin,increase,2/1,M,The metabolism of Caffeine can be increased when combined with Fosphenytoin
Calcitriol,Carbamazepine,increase,2/1,M,The metabolism of Calcitriol can be increased when combined with Carbamazepine
Calcitriol,Fosphenytoin,increase,2/1,M,The metabolism of Calcitriol can be increased when combined with Fosphenytoin
Calcitriol,Lumacaftor,increase,2/1,M,The metabolism of Calcitriol can be increased when combined with Lumacaftor
Canagliflozin,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Canagliflozin can be increased when Dabigatranetexilate is used in combination with Canagliflozin
Candesartancilexetil,Fosphenytoin,increase,2/1,M,The metabolism of Candesartancilexetil can be increased when combined with Fosphenytoin
Capecitabine,Cimetidine,increase,2/1,M,The serum concentration of the active metabolites of Capecitabine can be increased when Cimetidine is used in combination with Capecitabine
Captopril,Carbamazepine,increase,2/1,M,The metabolism of Captopril can be increased when combined with Carbamazepine
Captopril,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Captopril can be increased when Dabigatranetexilate is used in combination with Captopril
Carbamazepine,Clevidipine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clevidipine
Carbamazepine,Clofazimine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clofazimine
Carbamazepine,Clofibrate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clofibrate
Carbamazepine,Clonazepam,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clonazepam
Carbamazepine,Clonidine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clonidine
Carbamazepine,Clopidogrel,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clopidogrel
Carbamazepine,Clorazepate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clorazepate
Carbamazepine,Clotiazepam,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Clotiazepam
Carbamazepine,Cocaine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Cocaine
Carbamazepine,Codeine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Codeine
Carbamazepine,Copanlisib,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Copanlisib
Carbamazepine,Cortisoneacetate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Cortisoneacetate
Carbamazepine,Cyclobenzaprine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Cyclobenzaprine
Carbamazepine,Cyclophosphamide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Cyclophosphamide
Carbamazepine,Cytarabine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Cytarabine
Carbamazepine,Dantrolene,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dantrolene
Carbamazepine,Dapagliflozin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dapagliflozin
Carbamazepine,Darifenacin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Darifenacin
Carbamazepine,Daunorubicin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Daunorubicin
Carbamazepine,Desipramine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Desipramine
Carbamazepine,Deutetrabenazine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Deutetrabenazine
Carbamazepine,Dexchlorpheniraminemaleate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dexchlorpheniraminemaleate
Carbamazepine,Dexlansoprazole,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dexlansoprazole
Carbamazepine,Dextromethorphan,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dextromethorphan
Carbamazepine,Dextropropoxyphene,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dextropropoxyphene
Carbamazepine,Diazepam,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Diazepam
Carbamazepine,Digitoxin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Digitoxin
Carbamazepine,Digoxin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Digoxin
Carbamazepine,Dihydroergotamine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dihydroergotamine
Carbamazepine,Diphenhydramine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Diphenhydramine
Carbamazepine,Disopyramide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Disopyramide
Carbamazepine,Disulfiram,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Disulfiram
Carbamazepine,Docetaxel,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Docetaxel
Carbamazepine,Doconexent,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Doconexent
Carbamazepine,Dofetilide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dofetilide
Carbamazepine,Dolasetron,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dolasetron
Carbamazepine,Domperidone,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Domperidone
Carbamazepine,Donepezil,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Donepezil
Carbamazepine,Dopamine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dopamine
Carbamazepine,Dosulepin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dosulepin
Carbamazepine,Doxazosin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Doxazosin
Carbamazepine,Doxepin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Doxepin
Carbamazepine,Dutasteride,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Dutasteride
Carbamazepine,Eletriptan,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Eletriptan
Carbamazepine,Eltrombopag,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Eltrombopag
Carbamazepine,Enalapril,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Enalapril
Carbamazepine,Enasidenib,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Enasidenib
Carbamazepine,Epinastine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Epinastine
Carbamazepine,Eplerenone,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Eplerenone
Carbamazepine,Epoprostenol,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Epoprostenol
Carbamazepine,Ergocalciferol,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Ergocalciferol
Carbamazepine,Ergonovine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Ergonovine
Carbamazepine,Ergotamine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Ergotamine
Carbamazepine,Esomeprazole,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Esomeprazole
Carbamazepine,Estazolam,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Estazolam
Carbamazepine,Estradiolacetate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Estradiolacetate
Carbamazepine,Estradiolbenzoate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Estradiolbenzoate
Carbamazepine,Estradiolcypionate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Estradiolcypionate
Carbamazepine,Estradioldienanthate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Estradioldienanthate
Carbamazepine,Estradiolvalerate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Estradiolvalerate
Carbamazepine,Estrone,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Estrone
Carbamazepine,Eszopiclone,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Eszopiclone
Carbamazepine,Ethosuximide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Ethosuximide
Carbamazepine,Ethylmorphine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Ethylmorphine
Carbamazepine,Etizolam,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Etizolam
Carbamazepine,Etodolac,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Etodolac
Carbamazepine,Etoricoxib,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Etoricoxib
Carbamazepine,Famotidine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Famotidine
Carbamazepine,Felodipine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Felodipine
Carbamazepine,Fenofibrate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fenofibrate
Carbamazepine,Fesoterodine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fesoterodine
Carbamazepine,Finasteride,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Finasteride
Carbamazepine,Flunisolide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Flunisolide
Carbamazepine,Flunitrazepam,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Flunitrazepam
Carbamazepine,Fluorometholone,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fluorometholone
Carbamazepine,Fluorouracil,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fluorouracil
Carbamazepine,Flurazepam,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Flurazepam
Carbamazepine,Flurbiprofen,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Flurbiprofen
Carbamazepine,Flutamide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Flutamide
Carbamazepine,Fluticasonefuroate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fluticasonefuroate
Carbamazepine,Fluticasonepropionate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fluticasonepropionate
Carbamazepine,Fluvastatin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fluvastatin
Carbamazepine,Formoterol,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Formoterol
Carbamazepine,Fostamatinib,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fostamatinib
Carbamazepine,Fulvestrant,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Fulvestrant
Carbamazepine,Galantamine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Galantamine
Carbamazepine,Gemfibrozil,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Gemfibrozil
Carbamazepine,Gliclazide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Gliclazide
Carbamazepine,Glimepiride,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Glimepiride
Carbamazepine,Glipizide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Glipizide
Carbamazepine,Glucosamine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Glucosamine
Carbamazepine,Glyburide,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Glyburide
Carbamazepine,Granisetron,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Granisetron
Carbamazepine,Halofantrine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Halofantrine
Carbamazepine,Haloperidol,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Haloperidol
Carbamazepine,Halothane,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Halothane
Carbamazepine,Hexobarbital,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Hexobarbital
Carbamazepine,Histamine,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Histamine
Carbamazepine,Hydromorphone,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Hydromorphone
Carbamazepine,Hydroxyprogesteronecaproate,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Hydroxyprogesteronecaproate
Carbamazepine,Ibuprofen,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Ibuprofen
Carbamazepine,Icotinib,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Icotinib
Carbamazepine,Idarubicin,increase,2/1,M,The metabolism of Carbamazepine can be increased when combined with Idarubicin
Carbamazepine,Ifosfamide,increase,2/1,M,The serum concentration of the active metabolites of Carbamazepine can be increased when Ifosfamide is used in combination with Carbamazepine
Carbinoxamine,Fosphenytoin,increase,2/1,M,The metabolism of Carbinoxamine can be increased when combined with Fosphenytoin
Cariprazine,Fosphenytoin,increase,2/1,M,The metabolism of Cariprazine can be increased when combined with Fosphenytoin
Cariprazine,Lumacaftor,increase,2/1,M,The metabolism of Cariprazine can be increased when combined with Lumacaftor
Carisoprodol,Fosphenytoin,increase,2/1,M,The metabolism of Carisoprodol can be increased when combined with Fosphenytoin
Carteolol,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Carteolol can be increased when Fesoterodine is used in combination with Carteolol
Carvedilol,Fosphenytoin,increase,2/1,M,The metabolism of Carvedilol can be increased when combined with Fosphenytoin
